                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2328,                  3.772,                 4.2315,                0.00208,                0.52632,                0.00462,                0.00107,                 3.0169,                 4.3851,                 4.1526,                 0.0003,                 0.0003,                 0.0003
                      2,                 3.2814,                 3.6667,                 4.1527,                 0.0025,                0.63158,                0.00623,                 0.0014,                 2.9888,                 4.3848,                 4.1328,             0.00061795,             0.00061795,             0.00061795
                      3,                 3.2216,                 3.5725,                 4.0277,                 0.0025,                0.63158,                0.00461,                0.00102,                 3.0213,                 4.3997,                 4.1605,              0.0009338,              0.0009338,              0.0009338
                      4,                 3.1401,                 3.3793,                 3.8354,                0.00208,                0.52632,                0.00797,                 0.0029,                 2.9425,                 4.3946,                 3.7323,              0.0012475,              0.0012475,              0.0012475
                      5,                 3.1996,                 3.3319,                 3.6922,                0.02407,                0.21053,                0.01411,                0.00242,                 3.0483,                  6.599,                 4.0468,              0.0015591,              0.0015591,              0.0015591
                      6,                 3.1351,                 3.1807,                 3.5879,                0.01362,                0.10526,                0.00838,                0.00226,                 2.9368,                 12.594,                  3.713,              0.0018686,              0.0018686,              0.0018686
                      7,                 3.0702,                 3.1992,                 3.4887,                0.04061,                0.10526,                0.00828,                0.00196,                 2.8509,                 31.433,                 5.3611,              0.0019604,              0.0019604,              0.0019604
                      8,                  2.978,                 3.1325,                 3.4505,                0.13233,                0.05263,                0.03762,                0.01286,                  2.784,                 6.9364,                 3.7229,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.9329,                 3.0795,                 3.4338,                0.03579,                0.05263,                0.00861,                0.00268,                 2.9566,                 13.285,                 4.7466,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.9091,                 3.1005,                 3.3681,                0.00866,                0.05263,                0.01268,                0.00254,                 3.4279,                  4.524,                 4.6611,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.8139,                 3.0439,                 3.2497,                0.00977,                0.15789,                0.01051,                0.00444,                 2.8824,                 3.8005,                 3.9573,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.8341,                 2.9896,                 3.2087,                0.05287,                0.05263,                0.03056,                0.01114,                 2.6562,                 3.3626,                 3.6551,               0.001934,               0.001934,               0.001934
                     13,                 2.7095,                 2.9389,                 3.1669,                0.10564,                0.10526,                0.03281,                 0.0091,                 2.6736,                 3.7608,                  3.763,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.7588,                 2.9405,                 3.1457,                0.09595,                0.15789,                0.04591,                0.01985,                 2.4674,                 3.1147,                 3.3388,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.7268,                  2.892,                 3.1269,                0.16192,                0.10526,                0.06773,                 0.0284,                  2.327,                 4.4094,                 2.8768,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.6931,                 2.9007,                 3.0674,                0.00411,                0.63158,                0.01651,                0.00676,                 2.5509,                 3.5326,                 3.4776,              0.0019076,              0.0019076,              0.0019076
                     17,                 2.6554,                 2.9027,                 3.0609,                0.16454,                0.05263,                0.09739,                0.04221,                 2.4182,                  3.421,                 3.4664,               0.001901,               0.001901,               0.001901
                     18,                 2.6498,                 2.8909,                 3.0287,                0.11492,                0.10526,                0.12871,                0.05411,                 2.3591,                 2.9832,                  2.997,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.5954,                   2.84,                 2.9664,                0.13498,                0.21053,                0.08565,                0.02324,                 2.3728,                 3.3339,                 2.9562,              0.0018878,              0.0018878,              0.0018878
                     20,                 2.5332,                 2.9152,                 2.9714,                0.08808,                0.15789,                0.05071,                0.01109,                 2.6354,                 3.7531,                 3.3788,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.4971,                 2.7637,                 2.8476,                0.07443,                0.10526,                0.09767,                0.03823,                 2.4044,                 3.0596,                 3.0597,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.5036,                  2.733,                 2.8774,                0.07329,                0.15789,                0.09302,                0.04595,                   2.29,                 2.8586,                 2.8517,               0.001868,               0.001868,               0.001868
                     23,                 2.4739,                 2.6594,                 2.8144,                0.14451,                0.31579,                0.16019,                0.07036,                 2.2688,                 2.7188,                 2.7452,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.4083,                 2.6767,                 2.7542,                0.12078,                0.10526,                0.07828,                0.02043,                 2.6366,                 3.2075,                 3.1913,              0.0018548,              0.0018548,              0.0018548
                     25,                  2.372,                 2.5683,                 2.7127,                 0.1539,                0.26316,                0.10691,                0.03537,                 2.4564,                 3.2497,                 3.0205,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.4395,                 2.7677,                 2.8325,                0.09103,                0.31579,                0.07657,                0.02831,                 2.4698,                 3.2732,                 2.9905,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.4238,                 2.6694,                 2.7446,                0.19397,                0.46874,                 0.1902,                0.05595,                 2.2316,                 2.9566,                 2.6395,               0.001835,               0.001835,               0.001835
                     28,                 2.3457,                 2.6877,                 2.7135,                0.12836,                0.36842,                0.10585,                0.03791,                  2.327,                 2.8173,                 2.8213,              0.0018284,              0.0018284,              0.0018284
                     29,                 2.3564,                 2.6528,                 2.6946,                0.16144,                0.15789,                0.07986,                0.03493,                 2.2965,                 4.1626,                 2.6998,              0.0018218,              0.0018218,              0.0018218
                     30,                 2.3584,                 2.5199,                 2.6336,                0.09416,                0.47368,                0.14674,                0.06298,                 2.3264,                 2.8093,                 2.6777,              0.0018152,              0.0018152,              0.0018152
                     31,                 2.3343,                 2.5955,                 2.6545,                0.15645,                0.21053,                 0.1783,                0.04814,                 2.4021,                 2.6589,                 2.7972,              0.0018086,              0.0018086,              0.0018086
                     32,                 2.3688,                  2.578,                 2.6644,                0.15024,                0.47368,                0.12515,                0.03916,                 2.2907,                 2.6729,                 2.6873,               0.001802,               0.001802,               0.001802
